region,outil,esea_2023,demi_intervalle
AUVERGNE RHONE ALPES,Système de pulvérisation en bandes,1036,222
AUVERGNE RHONE ALPES,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,2495,384
AUVERGNE RHONE ALPES,dont équipé d'un capteur d'avancement de type DPA,4400,480
AUVERGNE RHONE ALPES,Épandeur d'engrais minéraux localisé (raie de semins),2812,380
AUVERGNE RHONE ALPES,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),3864,430
AUVERGNE RHONE ALPES,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,722,263
AUVERGNE RHONE ALPES,Equipements disposant de guidage de haute précision GPS,3613,430
AUVERGNE RHONE ALPES,Equipements pilotés à l'aide d'une caméra,282,137
AUVERGNE RHONE ALPES,Équipements pilotés par un logiciel de cartographie,812,208

BOURGOGNE FRANCHE COMTE,Système de pulvérisation en bandes,1217,223
BOURGOGNE FRANCHE COMTE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,3051,294
BOURGOGNE FRANCHE COMTE,dont équipé d'un capteur d'avancement de type DPA,6243,391
BOURGOGNE FRANCHE COMTE,Épandeur d'engrais minéraux localisé (raie de semins),2376,292
BOURGOGNE FRANCHE COMTE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),3799,293
BOURGOGNE FRANCHE COMTE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,495,141
BOURGOGNE FRANCHE COMTE,Equipements disposant de guidage de haute précision GPS,3403,289
BOURGOGNE FRANCHE COMTE,Equipements pilotés à l'aide d'une caméra,507,161
BOURGOGNE FRANCHE COMTE,Équipements pilotés par un logiciel de cartographie,628,147

BRETAGNE,Système de pulvérisation en bandes,739,157
BRETAGNE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,3362,380
BRETAGNE,dont équipé d'un capteur d'avancement de type DPA,5929,444
BRETAGNE,Épandeur d'engrais minéraux localisé (raie de semins),2849,385
BRETAGNE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),2825,347
BRETAGNE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,1349,254
BRETAGNE,Equipements disposant de guidage de haute précision GPS,4488,418
BRETAGNE,Equipements pilotés à l'aide d'une caméra,292,101
BRETAGNE,Équipements pilotés par un logiciel de cartographie,925,207

CENTRE VAL DE LOIRE,Système de pulvérisation en bandes,918,212
CENTRE VAL DE LOIRE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,4899,498
CENTRE VAL DE LOIRE,dont équipé d'un capteur d'avancement de type DPA,8309,524
CENTRE VAL DE LOIRE,Épandeur d'engrais minéraux localisé (raie de semins),3282,472
CENTRE VAL DE LOIRE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),5955,512
CENTRE VAL DE LOIRE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,217,141
CENTRE VAL DE LOIRE,Equipements disposant de guidage de haute précision GPS,6431,530
CENTRE VAL DE LOIRE,Equipements pilotés à l'aide d'une caméra,706,248
CENTRE VAL DE LOIRE,Équipements pilotés par un logiciel de cartographie,1178,310

CORSE,Système de pulvérisation en bandes,22,9
CORSE,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,5,3
CORSE,dont équipé d'un capteur d'avancement de type DPA,47,10
CORSE,Épandeur d'engrais minéraux localisé (raie de semins),44,20
CORSE,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),19,7
CORSE,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,0,0
CORSE,Equipements disposant de guidage de haute précision GPS,19,12
CORSE,Equipements pilotés à l'aide d'une caméra,8,8
CORSE,Équipements pilotés par un logiciel de cartographie,3,3

GRAND EST,Système de pulvérisation en bandes,2262,439
GRAND EST,dont équipé d'un dispositif de coupure de tronçons piloté par GPS,6116,513
GRAND EST,dont équipé d'un capteur d'avancement de type DPA,12069,731
GRAND EST,Épandeur d'engrais minéraux localisé (raie de semins),3609,486
GRAND EST,dont équipé d'un capteur d'avancement de type DPA (épandeur engrais),7097,553
GRAND EST,Épandeur de lisier équipé d'un capteur d'avancement de type DPA,378,134
GRAND EST,Equipements disposant de guidage de haute précision GPS,7079,517
